Member State,Code,Adolescent birth rate (per 1000 women aged 15-19 years),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Average death rate due to natural disasters (per 100 000 population),Average of 13 International Health Regulations core capacity scores,Estimated direct deaths from major conflicts (per 100 000 population),Healthy life expectancy at birth (years),Infants receiving three doses of hepatitis B vaccine (%),Life expectancy at birth (years),Malaria incidence (per 1000 population at risk),Maternal mortality ratio (per 100 000 live births),Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Mortality rate attributed to household and ambient air pollution (per 100 000 population),Mortality rate due to homicide (per 100 000 population),Mortality rate from unintentional poisoning (per 100 000 population),Neonatal mortality rate (per 1000 live births),New HIV infections among adults 15-49 years old (per 1000 uninfected population),Prevalence of overweight in children under 5 (%),Prevalence of stunting in children under 5 (%),Prevalence of wasting in children under 5 (%),"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70 (%)",Proportion of births attended by skilled health personnel (%),Proportion of married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),Proportion of population using improved drinking-water sources (%),Proportion of population using improved sanitation (%),Proportion of population with primary reliance on clean fuels (%),Reported number of people requiring interventions against NTDs,Road traffic mortality rate (per 100 000 population),Skilled health professionals density (per 10 000 population),Suicide mortality rate (per 100 000 population),TB incidence (per 100 000 population),"Total alcohol per capita (15 years of age) consumption, in litres of pure alcohol, projected estimates",Total population (000s),Under-five mortality rate (per 1000 live births)
Honduras,HND,101,40.3,0.1,75,0.1,64.9,85,74.6,3.2,129,7.9,53.2,103.9,0.3,11,0.1,5.2,22.7,1.4,15.7,83,76,91,83,48,2709120,17.4,14.5,4.9,43,4,8075,20.4
Hungary,HUN,19.8,22.9,0,91,0,67.4,_,75.9,_,17,0.1,123,1.5,0.9,3.5,_,_,_,_,24,99,_,100,98,95,2,7.7,95.6,25.4,12,12.4,9855,5.9
Iceland,ISL,7.1,7.7,0,84,0,72.7,_,82.7,_,3,0.1,6.4,0.6,0.5,0.9,_,_,_,_,10.2,_,_,100,99,95,0,4.6,190.7,15.1,3.3,6.9,329,2
India,IND,28.1,73.6,0.2,94,0.1,59.5,70,68.3,23.7,174,27.4,130,4.3,3.2,27.7,_,1.9,38.7,15.1,26.2,74,63.9,94,40,34,577240673,16.6,24.1,20.9,167,4.6,1311051,47.7
Indonesia,IDN,47,18.1,0.1,96,0.1,62.2,78,69.1,41.8,126,3.6,83.9,4.7,1.1,13.5,0.5,11.5,36.4,13.5,23.1,87,78.8,87,61,57,127979175,15.3,15.9,3.7,399,0.6,257564,27.2
Iran (Islamic Republic of),IRN,37.7,41.1,0.1,85,0.1,66.6,99,75.5,0.1,25,0.9,35.3,4.8,2.5,9.5,0.2,_,6.8,4,17.3,96,68.6,96,90,95,14373,32.1,23,5.3,22,1,79109,15.5
Iraq,IRQ,82,52,0.1,91,83.6,60,62,68.9,0,50,3.9,32.2,18.6,0.7,18.4,_,11.8,22.6,7.4,23.7,91,59.3,87,86,95,2044142,20.2,6.1,1.1,43,0.5,36423,32
Ireland,IRL,9.2,10,0.1,78,0.1,71.5,95,81.4,_,8,0.3,17.3,1.2,1.5,2.3,0.2,_,_,_,11.1,100,_,98,91,95,0,4.1,178.7,11.5,7.4,10.9,4688,3.6
Israel,ISR,10.2,19.3,0.1,71,0.3,72.8,97,82.5,_,5,0.5,15.8,2.1,0.1,2.1,_,_,_,_,9.5,_,_,100,100,95,471,3.6,83,6.2,5.8,3.1,8064,4
Italy,ITA,5.8,18.6,0.1,77,0,72.8,94,82.7,_,4,0.1,35.3,0.9,0.6,2.1,_,_,_,_,9.8,100,_,100,100,95,418,6.1,92,6.4,6,6.1,59798,3.5
Jamaica,JAM,45.7,17.2,0,81,0,66.9,92,76.2,_,89,1.9,42.9,45.1,1,11.6,1,7.8,5.7,3,17,99,83,94,82,93,411692,11.5,15,1.2,4.7,5.1,2793,15.7
Japan,JPN,4.4,13,3.4,100,0.1,74.9,_,83.7,_,5,0.1,24.2,0.4,0.8,0.9,_,1.5,7.1,2.3,9.3,100,_,100,100,95,_,4.7,137.9,23.1,18,7.5,126573,2.7
Jordan,JOR,26,38.3,0,97,0.1,65,98,74.1,_,58,1,21.7,2.9,1.2,10.6,_,4.7,7.8,2.4,19.8,100,58,97,99,95,236,26.3,66.1,1.6,5.5,0.7,7595,17.9
Kazakhstan,KAZ,36.4,21.9,0.1,78,0.1,63.3,95,70.2,_,12,1.2,93.3,9.2,6.3,7,0.2,13.3,13.1,4.1,33.9,100,79.6,93,98,92,_,24.2,118.7,24.2,99,8.2,17625,14.1
Kenya,KEN,96,16.9,0.1,69,0.6,55.6,81,63.4,266.3,510,32.5,57.1,7.4,3.8,22.2,2.3,4.1,26,4,18.1,62,75.4,63,30,6,12294911,29.1,10.6,10.8,246,4,46050,49.4
Kiribati,KIR,49.9,_,0,60,_,59.1,75,66.3,_,90,_,_,8.2,_,23.7,_,_,_,_,_,80,35.8,67,40,5,115336,2.9,40.8,_,497,2.9,112,55.9
Kuwait,KWT,7.1,78.8,0,86,0.1,65.8,96,74.7,_,4,0.1,14.2,3.1,0.5,3.2,_,8.7,5.8,2.4,11.8,100,_,99,100,95,29,18.7,63.4,1,21,0.1,3892,8.6
Kyrgyzstan,KGZ,42.1,15.7,0,50,0.1,63.8,96,71.1,0,76,1.8,99.5,9.1,2.7,11.5,0.2,7,12.9,2.8,28.5,98,62.1,90,93,76,111553,22,81.9,8.9,142,3.9,5940,21.3
Lao People's Democratic Republic,LAO,94,33.6,0.2,74,0,57.9,88,65.7,29.8,197,13.9,107.6,7.1,1,30.1,0.2,2,43.8,6.4,24.2,40,61.3,76,71,5,2183445,14.3,10.6,6.4,189,7.5,6802,66.7
Latvia,LVA,15.3,20.2,0,90,0,67.1,92,74.6,_,18,0.1,115.1,7,2.4,5.2,_,_,_,_,24.1,98,_,99,88,95,13,10,70.1,21.8,49,10.6,1971,7.9
Lebanon,LBN,_,31.3,0,76,3.8,65.7,81,74.9,_,15,0.4,29.7,5.4,0.7,4.8,0.1,_,_,_,12.4,_,_,99,81,95,_,22.6,59.2,0.9,16,2.2,5851,8.3
Lesotho,LSO,94,21.7,0.2,63,0,46.6,96,53.7,_,487,28.3,74.5,37.5,2.2,32.7,20.1,7.4,33.2,2.8,23.9,78,76.1,82,30,32,517204,28.2,_,5.4,852,6.4,2135,90.2
Liberia,LBR,147,6.1,0,26,0,52.7,50,61.4,368.8,725,25,69.9,11.2,1.9,24.1,0.6,3.2,32.1,5.6,21.2,61,37.2,76,17,5,3892705,33.7,2.9,2.6,308,5.2,4503,69.9
Libya,LBY,6,58.5,0.1,64,19.6,63.8,94,72.7,_,9,0.6,33.2,2.6,1.4,7.2,_,22.4,21,6.5,17.6,100,29.6,_,97,_,1634,73.4,87,1.5,40,0,6278,13.4
Lithuania,LTU,13.9,19.5,0,83,0,66,94,73.6,_,10,0.1,73.4,6.7,5.3,2.5,_,_,_,_,22.4,100,_,97,92,95,22,10.6,41.2,33.5,62,16.2,2878,5.2
Luxembourg,LUX,6.4,16.6,0,88,0,71.8,94,82,_,10,0.1,19.8,0.2,0.9,0.9,_,_,_,_,11.4,100,_,100,98,95,0,8.7,155.1,10.9,6.6,11.2,567,1.9
Madagascar,MDG,148,32.4,0.2,29,0.1,56.9,73,65.5,83.3,353,26.6,84.4,8.1,4.1,19.7,0.2,_,49.2,_,23.4,44,49.6,52,12,5,20491358,28.4,4.8,7.3,235,1.9,24235,49.6
Malawi,MWI,143,25.6,0.2,40,0,51.2,91,58.3,217.8,634,26.1,72,2,3.3,21.8,4.5,5.1,42.4,3.8,18.7,87,73.6,90,41,5,11136578,35,3.6,8.6,227,2.5,17215,64
Malaysia,MYS,12.7,16.7,0.1,99,0.1,66.5,96,75,3.2,40,0.4,22.4,4.3,0.7,3.9,0.3,_,17.2,_,19.6,99,_,98,96,95,225248,24,44.7,2.6,103,1.7,30331,7
Maldives,MDV,13.7,_,0,61,0,69.6,99,78.5,_,68,0.6,20.5,3.5,0.3,4.9,_,6.5,20.3,10.2,15.9,96,42.7,99,98,95,747,3.5,64.5,5,41,1,364,8.6
Mali,MLI,172,34.8,0.1,55,3.7,51.1,77,58.2,460.9,587,61.1,116,11,4.1,37.8,1.3,4.7,38.5,15.3,25.6,57,27.3,77,25,5,19462713,25.6,5.1,2.8,58,1,17600,114.7
Malta,MLT,13.1,14.5,0,76,0,71.7,90,81.7,_,9,0.1,31.1,2.8,0.3,4.4,_,_,_,_,11.6,100,_,100,100,95,_,5.1,109.8,6.8,12,7.2,419,6.4
Marshall Islands,MHL,85,_,_,51,_,_,79,_,_,_,_,_,4.7,_,16.7,_,_,_,_,_,90,80.5,95,77,41,21468,5.7,21.8,_,335,_,53,36
Mauritania,MRT,71,86.2,0.1,29,0.3,55.1,84,63.1,24.9,602,28.9,64.5,11.3,1.8,35.7,0.4,1.2,22,11.6,15.8,65,23.8,58,40,45,762932,24.5,8,1.8,111,0.1,4068,84.7
Mauritius,MUS,29.4,14.3,0.2,68,0,66.8,97,74.6,_,53,0.9,21.2,2.7,0.3,8.4,0.4,_,_,_,24,100,40.8,100,93,95,_,12.2,_,8.5,22,4,1273,13.5
Mexico,MEX,70.9,20.6,0.1,97,1.1,67.4,84,76.7,0.2,38,1.1,24.1,22,0.8,7,0.1,9,13.6,1.6,15.7,99,81.9,96,85,86,10287100,12.3,46.2,4.1,21,6.8,127017,13.2
Micronesia (Federated States of),FSM,32.6,8,1.3,64,_,62.5,83,69.4,_,100,_,_,4.6,_,18.8,_,_,_,_,_,100,_,89,57,25,52463,1.9,35,_,195,3.5,104,34.7
Monaco,MCO,_,10,_,79,_,_,99,_,_,_,_,_,1.1,_,1.9,_,_,_,_,_,_,_,100,100,95,0,0,243.8,_,2.2,_,38,3.5
Mongolia,MNG,26.7,33.5,0,86,0,62,99,68.8,_,44,3.1,132.2,10.1,3.8,11.1,_,10.5,10.8,1,32,99,68.3,64,60,32,0,21,64.6,9.3,170,7.8,2959,22.4
Montenegro,MNE,13.4,24.3,0,59,0,67.9,87,76.1,_,7,0.1,123.5,2.8,1,3.1,_,22.3,9.4,2.8,22.2,99,34.2,100,96,74,_,11.9,75.3,18.9,21,11.5,626,4.7
Morocco,MAR,32,19.3,0.1,95,0.1,64.9,99,74.3,_,121,3.4,28.8,2.5,1.1,17.6,0.1,10.7,14.9,2.3,22.8,74,74.8,85,77,95,4025,20.8,15.1,5,106,0.7,34378,27.6
Mozambique,MOZ,167,22.4,0.2,69,0.1,49.6,78,57.6,352.3,489,37.9,65.1,3.4,8.1,27.1,7.4,7.9,43.1,6.1,17.3,54,28.2,51,21,5,22815820,31.6,4.5,17.3,551,2,27978,78.5
Myanmar,MMR,30.3,56.7,0.1,86,1.6,59.2,75,66.6,45,178,10.4,127.4,4.2,1.1,26.4,0.3,2.6,35.1,7.9,24.3,78,_,81,80,9,40777860,20.3,16.2,12.4,369,0.7,53897,50
Namibia,NAM,82,18.8,0.9,66,0,57.5,88,65.8,5.4,265,9.8,47.9,19.7,1.1,15.9,9.1,4.1,23.1,7.1,20,88,75.1,91,34,46,1049353,23.9,31.5,2,561,11.8,2459,45.4
Nauru,NRU,105.3,_,_,42,_,_,95,_,_,_,_,_,1.3,_,22.7,_,2.8,24,1,_,97,42.5,97,66,95,2751,_,56.4,_,73,3,10,35.4
Nepal,NPL,71,75.7,7.2,77,0.1,61.1,92,69.2,1.2,258,12.9,104.2,3.3,5.9,22.2,0.1,2.1,37.4,11.3,21.6,48,56,92,46,26,21352583,17,_,20.3,158,2.1,28514,35.8
Netherlands,NLD,4.5,14.9,0.1,95,0,72.2,95,81.9,_,7,0.2,24,0.9,0.2,2.4,_,_,_,_,12.2,_,_,100,98,95,30,3.4,_,10,5.8,9.6,16925,3.8
New Zealand,NZL,19.1,5.3,0.9,98,0,71.6,93,81.6,_,11,0.6,0.5,1.2,0.4,3.1,_,_,_,_,10.7,97,_,100,_,95,_,6,136.1,10.3,7.4,11.2,4529,5.7
Nicaragua,NIC,92,26.1,0.2,78,0.1,63.7,98,74.8,1.6,150,3.5,62.3,13,0.5,9.8,0.2,6.2,23,1.5,19.4,88,84,87,68,49,1214110,15.3,22.6,9.1,58,4.6,6082,22.1
Niger,NER,206,51.8,0.2,79,0.2,54.2,68,61.8,317.1,553,69.2,109.7,10.3,4,26.8,0.1,3,43,18.7,19.6,29,40.8,58,11,5,14885196,26.4,1.6,1.8,98,0.3,19899,95.5
Nigeria,NGA,122,38.9,0.1,67,3.1,47.7,66,54.5,342.9,814,50.9,90.4,10.1,2.4,34.3,2,1.8,32.9,7.9,19.8,35,28.8,69,29,5,140381164,20.5,20.1,4.3,322,11.3,182202,108.8
Niue,NIU,14.3,_,_,61,_,_,99,_,_,_,_,_,2.8,_,12.5,_,_,_,_,_,100,_,99,100,91,0,_,190,_,0,7.7,2,23
Norway,NOR,5,9.1,0.1,98,0.3,72,_,81.8,_,5,0.5,12.7,0.6,1,1.5,0.1,_,_,_,10.7,99,_,100,98,95,7,3.8,215.5,10.2,8.1,7,5211,2.6
Oman,OMN,13.5,47.4,0.1,96,0,66.7,98,76.6,0,17,0.4,13.5,4.8,0.4,5.2,0.1,4.4,14.1,7.5,17.8,99,19.1,93,97,95,_,25.4,78.1,1,9.6,0.9,4491,11.6
Pakistan,PAK,44,68.7,0.4,43,4.2,57.8,73,66.4,12.8,178,20.7,88.8,8.9,5.4,45.5,0.2,4.8,45,10.5,20.5,52,47,91,64,45,47386262,14.2,14,7.5,270,0.1,188925,81.1
Palau,PLW,27,_,_,91,_,_,99,_,_,_,_,_,3.1,_,9,_,_,_,_,_,100,_,_,100,58,_,4.8,71,_,42,_,21,16.4
Panama,PAN,91.1,12.8,0.1,70,0,68.1,80,77.8,0.5,94,4.1,25.4,19.3,0.6,9.6,0.3,_,19.1,1.2,12.5,91,75.9,95,75,86,400364,10,30.5,4.4,46,7.7,3929,17
Papua New Guinea,PNG,_,12.1,0.2,64,0.2,56.4,62,62.9,185.1,215,12.4,44.3,10.8,11.9,24.5,0.4,13.8,49.5,14.3,26.4,43,40.6,40,19,31,6327334,16.8,6.2,7.7,417,3.1,7619,57.3
Paraguay,PRY,63,17,0.1,83,0.1,65.2,87,74,0,132,2.3,56.6,9.7,0.3,10.9,0.5,11.7,10.9,2.6,18.5,96,84.1,98,89,64,815045,20.7,22.3,5.3,43,9.6,6639,20.5
Peru,PER,65,37,0.1,89,0.1,65.6,88,75.5,30.4,68,1.3,32.6,11,0.7,8.2,0.1,7.2,14.6,0.6,11.2,90,62.7,87,76,68,3011439,13.9,26.5,3.1,120,5.2,31377,16.9
Philippines,PHL,57,27.6,2.5,89,1.1,61.1,79,68.5,0.4,114,5.1,82.7,12.4,0.2,12.6,0.1,5,30.3,7.9,27.9,73,51.5,92,74,45,44803112,10.5,_,2.6,288,5.6,100699,28
Poland,POL,14,25.8,0.1,74,0,68.7,96,77.5,_,3,0.1,68.9,1.1,1.7,3.1,0.1,_,_,_,20,100,_,98,97,95,48,10.3,83.8,20.5,21,11.5,38612,5.2
Portugal,PRT,10.5,9.6,0.1,95,0,71.4,98,81.1,_,10,0.1,16.8,1.4,0.4,2,_,_,_,_,11.9,99,_,100,100,95,75,7.8,102.1,12.5,25,12.5,10350,3.6
Qatar,QAT,13.4,105.3,0,97,0,67.7,99,78.2,_,13,0.1,9,7.1,0.6,3.8,_,_,_,_,14.2,100,68.9,100,98,95,48,15.2,196.1,4.7,29,1.3,2235,8
Republic of Korea,KOR,1.7,27.9,0.1,100,0,73.2,99,82.3,0.2,11,0.2,23.7,2,0.6,1.6,_,7.3,2.5,1.2,9.3,100,_,_,100,95,6,12,71.5,36.8,86,10.9,50293,3.4
Republic of Moldova,MDA,26.7,17.1,0,80,0,64.8,92,72.1,_,23,0.1,114.5,7.5,5,11.9,0.6,4.9,6.4,1.9,26.5,99,60.4,88,76,93,_,12.5,93.8,17,153,17.4,4069,15.8
Romania,ROU,38.9,20.4,0.1,78,0,66.8,94,75,_,31,0.1,138.2,2.1,2.3,6.3,_,_,_,_,22.6,99,_,100,79,82,_,8.7,80.6,12.8,81,12.9,19511,11.1
Russian Federation,RUS,26.6,17.1,0.1,87,0.5,63.3,97,70.5,0,25,0.2,110,13.1,6.4,5,_,_,_,_,29.9,100,72.4,97,72,95,_,18.9,_,22.3,84,14.5,143457,9.6
Rwanda,RWA,45,50.6,0.1,46,0.7,56.6,99,66.1,121.1,290,19.4,68.3,5.8,3.3,18.7,1.1,7.7,37.9,2.2,19.1,91,65,76,62,5,4148711,32.1,7.5,7.6,63,10,11610,41.7
Saint Kitts and Nevis,KNA,_,0,_,60,_,_,98,_,_,_,_,_,13.8,_,6.5,_,_,_,_,_,100,_,98,_,95,0,_,_,_,7.2,7,56,10.5
Saint Lucia,LCA,42.5,18.2,0.7,58,_,66.1,99,75.2,_,48,_,_,15.3,_,9.3,_,6.3,2.5,3.7,_,99,72.4,96,91,95,36119,18.1,21.3,_,9.1,10.4,185,14.3
Saint Vincent and the Grenadines,VCT,70,_,2.2,35,_,64.6,98,73.2,_,45,_,_,14,_,11.5,_,_,_,_,_,99,_,95,_,95,0,8.2,_,_,24,7.2,109,18.3
Samoa,WSM,44,_,2.4,75,_,66.6,91,74,_,51,_,_,3.7,_,9.5,_,_,_,_,_,83,39.4,99,92,27,182172,15.8,23,_,19,_,193,17.5
San Marino,SMR,1.3,_,_,40,_,_,80,_,_,_,_,_,0.7,_,0.7,_,_,_,_,_,_,_,_,_,95,0,3.2,139.3,_,1.6,_,32,2.9
Sao Tome and Principe,STP,92,_,0,18,_,59.1,95,67.5,93,156,_,_,7.2,_,17.1,0.1,2.4,17.2,4,_,93,50.3,97,35,30,194856,31.1,_,_,97,6.8,190,47.3
Saudi Arabia,SAU,17.6,131.6,0.1,99,0.1,64.5,98,74.5,0.1,12,0.2,28.1,6.5,0.8,7.9,_,6.1,9.3,11.8,16.7,98,_,97,100,95,1968,27.4,73.6,0.3,12,0.2,31540,14.5
Senegal,SEN,80,43.7,0.1,30,0.1,58.3,89,66.7,128.1,315,25.4,43.2,7.9,1.5,20.8,0.1,1.3,19.4,5.8,16.7,59,46.3,79,48,36,11792254,27.2,4.8,3.2,138,0.5,15129,47.2
Serbia,SRB,22,21.5,0.1,47,0.1,67.7,92,75.6,_,17,0.3,137.2,1.6,0.6,4.2,_,13.9,6,3.9,24.5,98,25.1,99,96,71,7,7.7,21.1,16.8,24,12.9,8851,6.7
Seychelles,SYC,61.2,5,0,87,_,65.5,99,73.2,_,_,_,_,9.5,_,8.6,_,10.2,7.9,4.3,_,99,_,96,98,95,1,8.6,58.8,_,26,6.7,96,13.6
Sierra Leone,SLE,125,16.8,0.1,64,0,44.4,83,50.1,406,1360,90.4,142.3,13,5.7,34.9,0.7,8.9,37.9,9.4,27.5,60,37.5,63,13,5,7564272,27.3,1.9,5.6,310,8.2,6453,120.4
Singapore,SGP,2.7,17,0,99,0,73.9,97,83.1,_,10,0.1,20.5,0.6,0.2,1,_,_,_,_,10.5,100,_,100,100,95,6066,3.6,77.1,9,49,2.9,5604,2.7
Slovakia,SVK,21.2,20.3,0,96,0,68.1,97,76.7,_,6,0.1,66.3,1.4,0.7,4.2,0.1,_,_,_,19.4,100,_,100,99,95,8,6.6,93.9,12.6,6.7,12.5,5426,7.3
Slovenia,SVN,4.6,19.4,0.1,75,0,71.1,_,80.8,_,9,0.1,41.9,0.7,1,1.4,0.1,_,_,_,12.6,100,_,100,99,95,_,6.4,109.8,17.1,7.7,10.9,2068,2.6
Solomon Islands,SLB,62,_,2,57,0,62.1,88,69.2,75.4,114,10.4,52.9,4.9,5.2,12.2,_,2.5,32.8,4.3,24.1,86,60,81,30,9,383910,19.2,22.8,6.3,86,1.6,584,28.1
Somalia,SOM,64,16.9,0.4,6,35.8,47.8,42,55,78.8,732,98.8,116.8,5.5,10,39.7,0.5,3,25.3,15,19.1,9,_,_,_,9,4891026,25.4,1.5,8,274,0.5,10787,136.8
South Africa,ZAF,54,32.6,0.1,100,0.1,54.5,74,62.9,5,138,12.1,44.2,35.7,2.5,11,12.7,_,23.9,4.7,26.8,94,_,93,66,82,6645340,25.1,58.9,2.7,834,11.5,54490,40.5
South Sudan,SSD,158,32.5,0.3,50,21.1,49.9,_,57.3,153.8,789,50,95,4.8,6.9,39.3,2.6,6,31.1,22.7,19.8,17,5.6,59,7,5,9326151,27.9,_,13.6,146,_,12340,92.6
Spain,ESP,8.4,10,0.1,92,0.1,72.4,96,82.8,_,5,0.3,14.7,0.8,0.9,2.8,_,_,_,_,10.8,_,_,100,100,95,440,3.7,106.1,7,12,10.6,46122,4.1
Sri Lanka,LKA,20.3,28.6,0.4,71,0.1,67,99,74.9,0,30,3.3,119.4,3.8,0.4,5.4,0.1,0.6,14.7,21.4,17.6,99,69.4,96,95,19,54216,17.4,23.2,29.2,65,4.5,20715,9.8
Sudan,SDN,87,53.1,0.1,71,7,55.9,94,64.1,37.7,311,34.6,64.3,6.5,5.6,29.8,0.2,3,38.2,16.3,17.4,20,30.2,_,_,23,28468689,24.3,11.2,11.5,94,_,40235,70.1
Suriname,SUR,65.3,16.3,0,72,0,63.1,85,71.6,12.6,155,0.8,22.7,9.4,0.6,11.5,0.6,4,8.8,5,13.6,90,73.2,95,79,91,51774,19.1,_,28.3,38,6.5,543,21.3
Swaziland,SWZ,87,19.9,0.2,56,0,50.9,98,58.9,3.6,389,22.7,62.7,19.4,2.5,14.2,18.9,9,25.5,2,21.4,88,80.6,74,58,35,597165,24.2,17.7,5.3,733,6.4,1287,60.7
Sweden,SWE,5.1,5.9,0.1,92,0,72,42,82.4,_,4,1.1,0.4,0.8,1,1.6,0.1,_,_,_,9.9,_,_,100,99,95,21,2.8,149.7,13.2,7.5,8.7,9779,3
Switzerland,CHE,2,12.6,0.1,91,0,73.1,_,83.4,_,5,0.3,18.5,0.6,1.2,2.7,_,_,_,_,9.1,_,_,100,100,95,_,3.3,214.1,12.2,6.3,10.4,8299,3.9
Syrian Arab Republic,SYR,54,34.3,0,63,309.1,56.1,71,64.5,0,68,1.8,30.9,2.5,0.5,7,0.1,17.9,27.5,11.5,19.1,96,53.3,90,96,95,43885,20,33.2,0.4,17,1.4,18502,12.9
Tajikistan,TJK,54,51.2,0.1,94,0.1,62.1,97,69.7,0.1,32,7.5,97.6,1.8,1.7,20.5,0.4,6.6,26.8,9.9,28.8,87,50.8,74,95,72,120617,18.8,69.4,3.2,91,2.4,8482,44.8
Thailand,THA,60,27.5,0.3,98,0.7,66.8,99,74.9,6.5,20,1.9,65.3,5.5,0.1,6.7,0.2,10.9,16.3,6.7,16.2,100,89.2,98,93,76,41360,36.2,24.7,13.1,171,8.3,67959,12.3
The former Yugoslav Republic of Macedonia,MKD,18.7,43,0,86,0.3,67.5,97,75.7,_,8,0.1,128.9,1.8,0.6,3.5,_,12.4,4.9,1.8,22.1,100,22.3,99,91,61,27,9.4,26.2,6.7,15,5.7,2078,5.5
